session;session_start_text;session_end_text;clickouts;booking
20170503000001;06:11:53;06:15:11;3;0
20170503000002;21:06:41;21:08:23;3;0
20170503000003;12:03:01;12:06:02;3;0
20170503000004;05:58:00;06:02:56;0;0
20170503000005;09:13:43;09:17:01;1;0
20170503000006;01:27:37;01:30:23;4;0
20170503000007;04:17:08;04:20:22;3;0
20170503000008;19:33:08;19:36:37;2;1
20170503000009;22:22:40;22:25:20;2;0
20170503000010;09:00:37;09:05:37;4;0
20170503000011;22:41:06;22:43:15;2;0
20170503000012;15:59:55;16:03:02;1;0
20170503000013;13:17:35;13:19:38;2;0
20170503000014;12:28:57;12:33:26;2;0
20170503000015;10:36:27;10:39:35;2;1
20170503000016;17:01:51;17:05:20;3;1
20170503000017;19:33:09;19:36:11;2;0
20170503000018;01:24:28;01:27:05;2;0
20170503000019;00:31:05;00:33:41;2;0
20170503000020;19:46:46;19:49:39;5;0
20170503000021;10:23:07;10:27:11;2;0
20170503000022;08:38:43;08:42:20;4;0
20170503000023;15:07:04;15:09:58;3;0
20170503000024;21:13:54;21:15:41;2;0
20170503000025;22:16:51;22:21:15;3;0
20170503000026;08:26:53;08:29:57;3;0
20170503000027;03:20:28;03:23:16;2;0
20170503000028;07:34:52;07:39:44;1;0
20170503000029;15:01:25;15:03:47;4;0
20170503000030;10:46:00;10:48:40;3;0
20170503000031;01:33:53;01:39:00;3;0
20170503000032;03:30:46;03:32:35;3;0
20170503000033;19:05:37;19:09:14;0;0
20170503000034;01:55:40;01:55:40;0;0
20170503000035;10:33:24;10:36:34;3;0
20170503000036;22:17:32;22:21:54;3;1
20170503000037;22:40:09;22:42:47;3;0
20170503000038;10:21:34;10:21:47;2;0
20170503000039;18:34:43;18:38:07;4;1
20170503000040;14:36:29;14:40:01;4;0
20170503000041;00:09:35;00:13:12;4;0
20170503000042;21:15:38;21:17:25;2;0
20170503000043;19:09:01;19:13:01;2;1
20170503000044;19:03:33;19:05:10;2;0
20170503000045;20:43:03;20:46:33;1;0
20170503000046;17:05:14;17:10:26;2;0
20170503000047;13:48:58;13:50:04;1;1
20170503000048;20:57:57;21:02:31;2;0
20170503000049;21:31:55;21:33:22;4;0
20170503000050;02:11:07;02:13:53;4;0
20170503000051;06:46:28;06:48:35;3;0
20170503000052;18:34:14;18:37:40;2;1
20170503000053;04:27:56;04:31:19;3;0
20170503000054;11:41:20;11:43:20;3;0
20170503000055;09:28:51;09:30:33;3;0
20170503000056;09:55:06;09:57:27;3;0
20170503000057;17:11:25;17:14:57;1;0
20170503000058;18:46:06;18:48:53;2;0
20170503000059;21:52:01;21:55:24;2;1
20170503000060;17:23:41;17:28:15;2;0
20170503000061;20:46:10;20:49:56;1;0
20170503000062;22:40:18;22:43:52;2;0
20170503000063;00:53:59;00:56:46;4;0
20170503000064;09:45:03;09:48:05;1;0
20170503000065;06:00:04;06:03:16;4;0
20170503000066;10:19:30;10:20:51;4;0
20170503000067;22:08:35;22:12:18;4;0
